timestamp,city,lat,lon,aqi,category,pm2_5,pm10,co,no2,so2,o3,temperature,humidity,wind_speed,pressure
2026-09-24T02:09:23,Lagos,6.5244,3.3792,16,Good,2.04,7.94,131.92,0.05,0.2,33.75,23.79,92,1.82,1013
2026-09-24T02:09:23,Abuja,9.0765,7.3986,42,Good,10.15,12.97,341.18,2.08,0.31,15.18,21.76,94,0.43,1013
2026-09-24T02:09:24,Port Harcourt,4.8156,7.0498,17,Good,2.09,6.45,143.34,0.07,0.17,36.78,23.74,95,1.44,1013
2026-09-24T02:09:24,Kano,12.0022,8.592,108,Unhealthy for Sensitive Groups,38.27,51.54,685.48,4.87,0.55,8.17,25.54,70,3.18,1011
2026-09-24T02:09:25,Ibadan,7.3775,3.947,16,Good,3.93,12.69,191.86,0.91,0.52,28.39,21.49,99,1.6,1013
2026-09-24T02:09:25,Kaduna,10.5222,7.4383,46,Good,10.95,12.65,307.91,2.02,0.12,15.41,20.96,93,0.97,1013
2026-09-24T02:09:26,Ogun (Ode-Remo),6.85,3.6167,15,Good,1.98,7.39,133.35,0.05,0.18,32.77,22.49,99,1.22,1013
